Division No.,Member Name,Constiituency,State,No of Days Member signed the register
197,Shri Praveen Kumar Nishad,Sant Kabir Nagar,Uttar Pradesh,18 
310,Shri Rajendra Dhedya Gavit,Palghar,Maharashtra,16 
288,Shri Tokheho Yepthomi,Nagaland,Nagaland,15 
533,Shri H. Vasanthakumar,Kanniyakumari,Tamil Nadu,16 
480,Shri S. Gnanathiraviam,Tirunelveli,Tamil Nadu,18 
537,Dr. K. Jayakumar,Tiruvallur,Tamil Nadu,17 
479,Shri Dhanush M Kumar,Tenkasi,Tamil Nadu,20 
512,Dr. Kalanidhi Veeraswamy,Chennai North,Tamil Nadu,19 
500,Smt. Kanimozhi Karunanidhi,Thoothukkudi,Tamil Nadu,17 
465,Dr. T Sumathy Alias Thamizhachi Thangapandian,Chennai South,Tamil Nadu,19 
532,Shri Navaskani K,Ramanathapuram,Tamil Nadu,13 
494,Shri Selvam G,Kancheepuram,Tamil Nadu,20 
294,Shri P. Ravindhranath,Theni,Tamil Nadu,10 
454,Shri S Venkatesan,Madurai,Tamil Nadu,20 
531,Dr. A. Chellakumar,Krishnagiri,Tamil Nadu,13 
542,Shri Karti P Chidambaram,Sivaganga,Tamil Nadu,17 
457,"DNV Senthilkumar S, Dr.",Dharmapuri,Tamil Nadu,20 
493,Shri C N Annadurai,Tiruvannamalai,Tamil Nadu,16 
551,Shri T.R.V.S. Ramesh,Cuddalore,Tamil Nadu,17 
545,Dr. M K Vishnu Prasad,Cuddalore,Tamil Nadu,17 
477,Dr. D Ravi Kumar,Viluppuram,Tamil Nadu,17 
442,Shri Sellaperumal Ramalingam,Mayiladuthurai,Tamil Nadu,12 
519,Dr. Gautham Sigamani Pon,Kallakurichi,Tamil Nadu,18 
495,Shri S.R. Parthiban,Salem,Tamil Nadu,20 
549,Shri P. Velusamy,Dindigul,Tamil Nadu,20 
550,Shri K. Shanmuga Sundaram,Pollachi,Tamil Nadu,14 
478,Shri A.K.P. Chinraj,Namakkal,Tamil Nadu,13 
490,Dr. T. R. Paarivendhar,Perambalur,Tamil Nadu,19 
484,Ms. S Jothimani,Karur,Tamil Nadu,16 
195,Shri Rebati Tripura,Tripura East,Tripura,20 
66,Km. Pratima Bhoumik,Tripura West,Tripura,11 
411,Smt. Pramila Bisoyi,Aska,Odisha,20 
187,Shri Suresh Kumar Pujari,Bargarh,Odisha,14 
410,Smt. Manjulata Mandal,Bhadrak,Odisha,19 
167,Smt. Aparajita Sarangi,Bhubaneswar,Odisha,19 
392,Shri Mahesh Sahoo,Dhenkanal,Odisha,15 
401,Dr. Rajashree Mallick,Jagatsinghpur,Odisha,16 
